Date,Name/Location,Region,Notes,Type,Dynasty/Ruler,Notes,,,,,,,,,,,,,,,,,,,
200CE–300CE,Fertőrákos Mithraeum,"Fertőrákos, Hungary",Archaeological site; well-preserved.,1.0,,,,,,,,,,,,,,,,,,,,,
2nd–3rd c. CE,Mithraeum of Sabratha,"Sabratha, Libya",Notable for its well-preserved frescoes and inscriptions.,Mithraeum,Roman Empire,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Jerusalem (Via Dolorosa) Mithraic find,"Jerusalem, Israel",Possible Mithraeum near Second Station; two vases with Mithraic iconography excavated.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Mithraeum of the Circus Maximus,"Rome, Italy",Large urban Mithraeum; open by appointment.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Barberini Mithraeum,"Rome, Italy",Well-preserved; open by appointment.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Mithraeum of San Clemente,"Rome, Italy",Under the basilica of San Clemente; open to public.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Mithraeum of the Baths of Caracalla,"Rome, Italy",Open by appointment; significant urban Mithraeum.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Castra Peregrinorum Mithraeum (Santo Stefano Rotondo),"Rome, Italy",Under the church of Santo Stefano Rotondo; open by appointment.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Mithraeum under Santa Prisca,"Rome, Italy",Under the basilica of Santa Prisca; famous frescoes of Mithraic initiates.,13.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Mithraeum of Santa Maria Capua Vetere,"Campania, Italy",Large and well-preserved; one of the most significant in southern Italy.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Mithraeum of Naples,"Naples, Italy",Well-preserved; typical Mithraic features.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Brukenthal Museum Mithraeum (reconstructed),"Sibiu, Romania",Reconstructed from finds at Apulum (Alba Iulia); features original artifacts.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Ulpia Traiana Sarmizegetusa Mithraeum,"Sarmizegetusa, Romania",Archaeological site; typical Mithraic features.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Fuente Álamo Mithraeum (Puente Genil),"Andalusia, Spain",Mithraeum at Roman villa; archaeological site.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Emerita Augusta Mithraeum,"Mérida, Spain",Archaeological site; typical Mithraic features.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Domus do Mitreo (Lugo),"Lugo, Spain",Mithraeum next to Roman walls of Lugo; open to public.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Dura-Europos Mithraeum,"Dura-Europos, Syria",Transported and rebuilt at Yale University Art Gallery; original site featured painted tauroctony and benches.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Hawarte Mithraeum,"Hawarte, Syria",Archaeological site; features mosaics and typical Mithraic iconography.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Caernarfon Mithraeum,"Caernarfon, Wales, UK",Mithraeum in Wales; archaeological site.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Carrawburgh Mithraeum (Hadrian’s Wall),"Northumberland, England",Well-preserved; features tauroctony relief; open to public.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,London Mithraeum (Walbrook),"London, England",Reconstructed and displayed in Bloomberg Space; major urban Mithraeum.,1.0,,,,,,,,,,,,,,,,,,,,,
200CE–300CE,Rudchester Mithraeum (Hadrian’s Wall),"Northumberland, England",Mithraeum along Hadrian’s Wall; archaeological site.,1.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Zoroastrian, Scythian, Saka, and Other",,,,,,,,,,,,,,,,,,,,,,,,,
Date (Year BCE/CE),Name/Location,Region,Type/Notes,Dynasty/Ruler,Notes/Significance,,,,,,,,,,,,,,,,,,,,
800–600 BCE,Median Sacred Sites (general),NW Iran (Media),"Early fire cult sites, open-air altars",Median,"No monumental temples survive; evidence of fire veneration, possible open-air sanctuaries.",,,,,,,,,,,,,,,,,,,,
700 BCE–100 CE,Cholpon-Ata Petroglyphs,"Issyk-Kul, Kyrgyzstan","Open-air sanctuary, petroglyphs, altars","Saka, Usun","Saka priests performed solar and nature rites, site sacred for sun worship.",,,,,,,,,,,,,,,,,,,,
550 BCE–present,Adur Burzen-Mihr,"Kashmar, Iran",Fire Temple (Atash Behram),"Achaemenid, Sasanian","One of three great Zoroastrian fires, legendary founding by Vishtaspa, Zoroaster’s patron.",,,,,,,,,,,,,,,,,,,,
550 BCE–present,Adur Farnbag,"Larestan, Fars, Iran",Fire Temple (Atash Behram),Sasanian,One of the three great Zoroastrian sacred fires.,,,,,,,,,,,,,,,,,,,,
550 BCE–present,Adur Gushnasp,"West Azerbaijan, Iran",Fire Temple (Atash Behram),Sasanian,"Third of the three great fires, with archaeological remains.",,,,,,,,,,,,,,,,,,,,
500 BCE–100 CE,"Saka Kurgans (Issyk, Shilikty, etc.)","Kazakhstan, Tien Shan, Altai","Burial mounds, ritual enclosures, altars",Saka-Scythian,"Large royal burial mounds, ritual fire traces, sacrificial altars, cromlechs.",,,,,,,,,,,,,,,,,,,,
c. 500 BCE–700 CE,"Mountain Shrines, Altars (general)","Bactria, Sogdia, Steppe","Open-air fire altars, mountain sanctuaries","Achaemenid, Saka-Scythian","Herodotus notes use of mountain shrines and open-air altars for sacrifice, continued in Zoroastrian use6.",,,,,,,,,,,,,,,,,,,,
c. 300 BCE–300 CE,"Fire Altars (on coins, archaeological)","Bactria, Gandhara, Sogdia","Fire altars depicted on coins, shrines","Greco-Bactrian, Kushan",Fire altar motifs on coins indicate Zoroastrian worship and temple presence in Bactria and Gandhara5.,,,,,,,,,,,,,,,,,,,,
c. 200 BCE,"Jandial Temple, Taxila",Gandhara (Pakistan),Fire Temple (often misidentified as Greek),"Indo-Greek, local elites","Zoroastrian fire temple with Greco-Iranian architectural features; directly north of Sirkap, Taxila247.",,,,,,,,,,,,,,,,,,,,
c. 200 BCE–700 CE,Zoroastrian Temples (general),"Bactria, Sogdia, Ferghana","Temples, fire sanctuaries","Greco-Bactrian, Kushan",Archaeological traces and coinage suggest fire temples and Zoroastrian worship in these regions5.,,,,,,,,,,,,,,,,,,,,
c. 200 BCE,Zoroastrian Sanctuary at Sirkap,Gandhara (Pakistan),Sanctuary/Temple,"Indo-Greek, local elites","Archaeological evidence of Zoroastrian worship in Taxila, Gandhara7.",,,,,,,,,,,,,,,,,,,,
300–700 CE,Fire Temple of Amol,"Amol, Mazandaran, Iran",Fire Temple,Sasanian,"Sasanian-era Zoroastrian fire temple, now in ruins.",,,,,,,,,,,,,,,,,,,,
300–700 CE,Fire Temple of Isfahan,"Isfahan, Iran","Fire Temple, archaeological complex",Sasanian,"Sassanid-era temple on Maras hill, significant Zoroastrian remains.",,,,,,,,,,,,,,,,,,,,
300–700 CE,Fire Temple of Bardneshandeh,"Masjed Soleyman, Khuzestan",Fire Temple,Achaemenid,"One of the oldest fire temples, Achaemenid period.",,,,,,,,,,,,,,,,,,,,
300–700 CE,Fire Temple of Cham Namesht,"Darreh Shahr, Ilam, Iran",Fire Temple,"Parthian, Sasanian",Parthian and Sasanian period fire temple.,,,,,,,,,,,,,,,,,,,,
300–700 CE,Fire Temple of Aspakhu,"Bojnord, North Khorasan, Iran",Fire Temple,Sasanian,Well-preserved Sasanian fire temple.,,,,,,,,,,,,,,,,,,,,
300–700 CE,Fire Temple of Neyasar,"Neyasar, Kashan, Iran",Fire Temple (Chahartaq),Sasanian,Example of four-arched Zoroastrian temple architecture (chahartaq).,,,,,,,,,,,,,,,,,,,,
c. 300–700 CE,"Fire Temples (ruins, lost sites)","Northern Afghanistan, Bactria","Temples, sanctuaries","Kushan, Sassanian",Many fire temples not yet excavated or lost; some referenced in Chinese and Islamic sources35.,,,,,,,,,,,,,,,,,,,,
300–present CE,Yazd Atash Behram (Fire Temple),"Yazd, Iran",Fire Temple,Modern (fire ancient),"Fire burning for 1500 years, present temple built 1934, major Zoroastrian pilgrimage site.",,,,,,,,,,,,,,,,,,,,
300–present CE,Towers of Silence (Dakhma),"Yazd, Iran, and elsewhere",Raised circular burial towers,Zoroastrian,"Used for ritual exposure of the dead, key Zoroastrian funerary practice.",,,,,,,,,,,,,,,,,,,,
300–present CE,Pir-e Sabz and other Pirs,"Yazd region, Iran","Mountain shrines, pilgrimage sites",Zoroastrian,"Six holy mountain shrines, annual pilgrimage sites for Zoroastrians.",,,,,,,,,,,,,,,,,,,,
250–700 CE,Manichaean Temple Sites (general),"Ctesiphon, Babylon, Samarkand","Temples, sanctuaries, monasteries","Sasanian, Kushan",Most Manichaean structures lost; known from texts and some archaeological traces.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Jewish Sites with Solar Motifs,,,,,,,,,,,,,,,,,,,,,,,,,
Date (Year BCE/CE),Name/Location,Region,Solar Imagery Details,Notes/Significance,,,,,,,,,,,,,,,,,,,,,
350 CE,Hammath Tiberias,"Galilee, Israel","Central mosaic: personified sun god (Sol/Helios) in a chariot, surrounded by zodiac and seasons","Sol depicted as a Roman-style youth, adapted to Jewish monotheism and cosmic order.",,,,,,,,,,,,,,,,,,,,,
400 CE,Sepphoris (Zippori),"Galilee, Israel","Central mosaic: Helios in a chariot, zodiac wheel, Hebrew month names",Fusion of Jewish and Greco-Roman motifs; zodiac and Helios at the center.,,,,,,,,,,,,,,,,,,,,,
420 CE,Huqoq,"Galilee, Israel","Central mosaic: Helios in four-horse chariot, zodiac ring, four seasons",Unique biblical scenes; Helios and zodiac as focal point.,,,,,,,,,,,,,,,,,,,,,
520 CE,Beit Alpha,Near Beit She'an,"Central mosaic: Helios in chariot, zodiac circle, four seasons","Three-panel mosaic: Holy Ark, zodiac with Helios, and Isaac’s sacrifice.",,,,,,,,,,,,,,,,,,,,,
540 CE,Na'aran,Near Jericho,Mosaic: zodiac wheel with central solar figure (Helios),Typical zodiac/solar arrangement.,,,,,,,,,,,,,,,,,,,,,
550 CE,Huseifa,Lower Galilee,Mosaic: zodiac with Helios at center,One of the classic zodiac synagogues.,,,,,,,,,,,,,,,,,,,,,
560 CE,Yafi'a,Lower Galilee,"Mosaic: zodiac medallions, central solar figure (partially preserved)","Similar layout to Huqoq, Helios in central medallion.",,,,,,,,,,,,,,,,,,,,,
570 CE,Susiya,Southern Hebron,Mosaic: probable zodiac/solar panel (later replaced by non-figurative design),Early evidence of zodiac/solar imagery.,,,,,,,,,,,,,,,,,,,,,
580 CE,Meroth,Upper Galilee,"Mosaic: three slabs with zodiac signs, likely included solar figure",Partial remains; solar figure inferred.,,,,,,,,,,,,,,,,,,,,,
590 CE,Wadi Hamam (inferred),Near Huqoq,"Mosaic: likely zodiac and Helios, but central panel missing",Architectural plan and fragments suggest similar solar imagery.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
🏛️ Apollo Temples & Monuments,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Name/Location,Religion/Deity,Region,Type,Dynasty/Ruler,Notes,,,,,,,,,,,,,,,,,,,
ca. 700 BCE,"Sanctuary of Apollo, Delphi",Greek (Apollo),"Delphi, Greece",Sanctuary/Temple,Various Greek states,Panhellenic sanctuary; major Oracle site.,,,,,,,,,,,,,,,,,,,
ca. 650 BCE,"Temple of Apollo, Dreros",Greek (Apollo),"Crete, Greece",Temple,Local rulers,Among earliest known Greek temples; stone and wood.,,,,,,,,,,,,,,,,,,,
ca. 600 BCE,"Temple of Apollo, Thermon",Greek (Apollo),"Thermon, Aetolia",Temple,Aetolian League,Early Doric temple; monumental size2.,,,,,,,,,,,,,,,,,,,
ca. 580 BCE,"Temple of Apollo, Corinth",Greek (Apollo),"Corinth, Greece",Temple,Corinthian city-state,"Early Doric temple, notable columns.",,,,,,,,,,,,,,,,,,,
ca. 560 BCE,"Temple of Apollo, Didyma",Greek (Apollo),"Didyma, Ionia (Turkey)",Temple,"Lydian, later Hellenistic",Major oracle; rebuilt in Hellenistic period.,,,,,,,,,,,,,,,,,,,
ca. 530 BCE,"Temple of Apollo, Delphi (reconstruction)",Greek (Apollo),"Delphi, Greece",Temple,Alcmaeonid family,Rebuilt after fire; famous pediments.,,,,,,,,,,,,,,,,,,,
ca. 500 BCE,"Temple of Apollo, Bassae",Greek (Apollo),"Bassae, Arcadia",Temple,Local rulers,Unique orientation; Ionic and Doric elements.,,,,,,,,,,,,,,,,,,,
ca. 294–282 BCE,Colossus of Rhodes,Greek (Helios),"Rhodes, Greece",Statue,Chares of Lindos,32m tall statue of Helios; one of the Seven Wonders; toppled by earthquake 225/226 BCE5.,,,,,,,,,,,,,,,,,,,
ca. 300 BCE,"Temple of Apollo, Claros",Greek (Apollo),"Claros, Ionia (Turkey)",Temple,Hellenistic,Major oracle center.,,,,,,,,,,,,,,,,,,,
ca. 3rd c. BCE,"Temple of Sol, Circus Maximus",Roman (Sol/Helios),"Rome, Italy",Temple,Roman Republic,Oldest Roman sun temple; remains date to at least 3rd c. BCE78.,,,,,,,,,,,,,,,,,,,
ca. 2nd c. BCE,Temple of Apollo Sosianus,Roman (Apollo),"Rome, Italy",Temple,Roman Republic,Rebuilt by Augustus; site of Greek art in Rome.,,,,,,,,,,,,,,,,,,,
ca. 1st c. BCE,Temple of Apollo Palatinus,Roman (Apollo),"Rome, Italy",Temple,Augustus,Built by Augustus on Palatine Hill.,,,,,,,,,,,,,,,,,,,
ca. 1st c. BCE,"Temple of Helios, Troy (Ilion)",Greek (Helios),"Troy (Ilion), Turkey",Temple (metope),Hellenistic,Metope with Helios in chariot; from Temple of Athena4.,,,,,,,,,,,,,,,,,,,
102 CE,"Portico of Sol, Trastevere",Roman (Sol),"Rome, Italy",Portico/Shrine,Roman Empire,Restored by Gaius Julius Anicetus; possibly early Sol cult11.,,,,,,,,,,,,,,,,,,,
ca. 218–222 CE,Elagabalium (Temple of Elagabal/Sol Invictus),Roman (Elagabal/Sol Invictus),"Rome, Italy",Temple,Heliogabalus,Syrian sun god Elagabal worshipped; later rededicated to Jupiter6.,,,,,,,,,,,,,,,,,,,
ca. 250 CE,"Sanctuary of Sol Augustus, Lower Danube",Roman (Sol Invictus),Lower Danube (Bulgaria),Sanctuary,Aurelian,Converted from Mithras sanctuary; active until Christianization10.,,,,,,,,,,,,,,,,,,,
274 CE,"Temple of the Sun (Sol Invictus), Campus Agrippae",Roman (Sol Invictus),"Rome, Italy",Temple,Aurelian,Dedicated on 25 Dec 274 CE; major cult center; funded by Palmyra spoils911.,,,,,,,,,,,,,,,,,,,
ca. 3rd–4th c. CE,Multiple Mithraea with Sol iconography,Roman (Sol Invictus/Mithras),Roman Empire,Mithraeum,Various emperors,Sol Invictus often depicted with Mithras; widespread in Roman military and urban centers10.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Manichaean Temples and Sites (All Regions, Including the Far East)",,,,,,,,,,,,,,,,,,,,,,,,,
Date (Year BCE/CE),Name/Location,Region/Country,Type/Notes,Dynasty/Ruler/Context,Notes/Significance,,,,,,,,,,,,,,,,,,,,
250–700 CE,"Ctesiphon, Babylon, Seleucia",Mesopotamia (Iraq),"Temples, monasteries, sanctuaries","Sasanian, Parthian, Early Islamic","Major Manichaean centers; seat of the Archegos (chief of the church); most structures lost, known from texts108.",,,,,,,,,,,,,,,,,,,,
250–700 CE,"Samarkand, Sogdiana",Uzbekistan/Tajikistan,"Temples, sanctuaries, monasteries","Sogdian, Kushan, Sasanian",Major eastern Manichaean center; Mar Ammo founded community; known from texts and some archaeological traces610.,,,,,,,,,,,,,,,,,,,,
300–900 CE,"Turpan (Gaochang), Bezeklik Caves","Xinjiang, China","Temples, cave sanctuaries, wall paintings","Tang, Uyghur",Rich Manichaean manuscript and art finds; wall paintings of Mani and disciples; major center in the east910.,,,,,,,,,,,,,,,,,,,,
400–1300 CE,Quanzhou (Cao'an Temple),"Fujian, China","Stone temple, relics, statue of Mani","Song, Yuan, Ming",Only intact Manichaean temple in the world; now UNESCO World Heritage; disguised as Buddhist site1235711.,,,,,,,,,,,,,,,,,,,,
600–1300 CE,Siming (Manichaean temple in Taoist disguise),"Zhejiang, China",Temple (later Taoist/Buddhist),"Sui, Tang, Song","Historical records of Manichaean temple, later absorbed into Taoism/Buddhism; northernmost known Manichaean site in China4.",,,,,,,,,,,,,,,,,,,,
700–1300 CE,Xuanzhen Temple,"Fujian, China","Temple, relics","Song, Yuan","Another surviving Manichaean temple, less intact than Cao'an; recognized by scholars as Manichaean2.",,,,,,,,,,,,,,,,,,,,
700–1300 CE,Zayton (Quanzhou),"Fujian, China","Manichaean community, temples","Song, Yuan",Quanzhou was a major port with a documented Manichaean presence and temples235.,,,,,,,,,,,,,,,,,,,,
800–1300 CE,"Chang’an, Luoyang, Yangzhou, Hangzhou",China (various),"Temples, monasteries, communities","Tang, Song","Historical records of Manichaean temples and communities, though no intact buildings survive10.",,,,,,,,,,,,,,,,,,,,
700–1300 CE,"Merv, Balkh, Bactria","Turkmenistan, Afghanistan","Temples, monasteries, sanctuaries","Sogdian, Kushan, Sasanian",Major Manichaean presence; Mar Ammo’s mission; archaeological traces and textual references10.,,,,,,,,,,,,,,,,,,,,
800–1300 CE,"Crimea, Caucasus, Volga Bulgaria",Eastern Europe,"Temples, communities","Khazar, Bulgar, local rulers","Manichaean communities and temples existed, especially among the Volga Bulgars and Khazars10.",,,,,,,,,,,,,,,,,,,,
900–1300 CE,"Ganzhou, Dunhuang, Yizhou, Sichuan",Western China,"Temples, cave sanctuaries, manuscripts","Tang, Song",Manuscript finds and references to Manichaean temples; many sites lost or absorbed into other traditions10.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Summary Table: Notable Manichaean Sites by Region,,,,,,,,,,,,,,,,,,,,,,,,,
Date Range (CE),Notable Sites/Temples,Region/Country,Notes/Significance,,,,,,,,,,,,,,,,,,,,,,
250–700,"Ctesiphon, Babylon, Seleucia",Mesopotamia (Iraq),"Early centers, seat of Archegos, all structures lost",,,,,,,,,,,,,,,,,,,,,,
250–1300,"Samarkand, Sogdiana, Bactria",Central Asia,"Major centers, Mar Ammo’s mission, temples, texts",,,,,,,,,,,,,,,,,,,,,,
300–900,"Bezeklik Caves, Gaochang","Turpan, Xinjiang","Cave temples, wall paintings, manuscripts",,,,,,,,,,,,,,,,,,,,,,
400–1300,"Cao’an, Xuanzhen, Quanzhou",China (Fujian),"Only intact temples, UNESCO-listed, relics/statues",,,,,,,,,,,,,,,,,,,,,,
600–1300,"Siming, Chang’an, Luoyang, etc.",China (other),"Historical records of temples, most lost",,,,,,,,,,,,,,,,,,,,,,
800–1300,"Crimea, Volga Bulgaria, Khazars",Caucasus/Volga,"Manichaean communities, some temples",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Dionysian Sacred Sites: An Archaeological and Historical Chronology,,,,,,,,,,,,,,,,,,,,,,,,,
Date (BCE/CE),Site Name/Location,Region/Geographical Context,Typology,Political/Cultural Context,Archaeological Evidence,Ritual Significance,Architectural Features,Scholarly References,,,,,,,,,,,,,,,,,
c. 1600-1400 BCE,"Linear B Tablets (Pylos, Knossos)","Mycenaean Greece, Crete",Textual evidence,Mycenaean palatial administration,"Inscribed clay tablets referencing ""di-wo-nu-so""",Earliest textual attestation of the deity; possible association with wine rituals,N/A,Ventris & Chadwick (1973); Bernabé (2013),,,,,,,,,,,,,,,,,
c. 1400-1200 BCE,Sanctuary of Dionysus at Yria,"Naxos, Aegean Islands","Open-air sanctuary, later monumentalized",Mycenaean influence zone,"Pottery deposits, votive offerings, foundation remains",Rural fertility cult site; continuous occupation through Classical era,Initial open-air precinct; later architectural phases beginning c. 800 BCE,Lambrinoudakis (1991); Gruben (2000),,,,,,,,,,,,,,,,,
c. 1250-1150 BCE,Ayia Irini Shrine,"Keos, Cyclades",Votive deposit,Late Mycenaean,"Terracotta figurines, ritual vessels",Possible proto-Dionysian cult; evidence of ecstatic ritual,Small shrine structure,Caskey (1986); Goodison (2009),,,,,,,,,,,,,,,,,
c. 1100-900 BCE,Mount Nysa Cult Sites,"Thrace, Northern Greece",Mythological locations,"Post-Mycenaean, pre-poleis",Limited material evidence; referenced in later texts,Mythological birthplace of Dionysus; associated with early cult formation,"Primarily natural features (caves, springs, groves)",Otto (1965); Burkert (1985),,,,,,,,,,,,,,,,,
c. 900-800 BCE,Early Icarian Sanctuary,"Ikaria, Aegean Islands",Rural shrine,Emergent polis culture,"Ceramic deposits, ash layer",Mythic location where Icarius received viticulture from Dionysus,"Rustic altar, possible temenos",Jeanmaire (1951); Kerényi (1976),,,,,,,,,,,,,,,,,
c. 800-750 BCE,Sanctuary at Thermí,"Lesbos, Northeastern Aegean",Rural shrine,Archaic Greek colonial period,"Ritual vessels, wine-processing equipment",Associated with early viticultural practices,"Stone altar, possible boundary markers",Spencer (1995); Cole (2007),,,,,,,,,,,,,,,,,
c. 750-700 BCE,Early Naxian Cult Site,"Naxos, Cyclades",Pre-temple sanctuary,Archaic Greek,"Foundation deposits, votive offerings",Primary island cult center; association with fertility and viticulture,Predecessor to later monumental temple,Gruben (1997); Lambrinoudakis (2005),,,,,,,,,,,,,,,,,
c. 700-650 BCE,Dionsyian Precinct at Delphi,"Phocis, Central Greece",Sanctuary within larger complex,Amphictyonic League influence,"Votive deposits, inscriptions",Seasonal rituals associated with Dionysus and Apollo's alternating presence at Delphi,Evidence of early structure beneath later Dionysian sanctuary,Fontenrose (1988); Scott (2014),,,,,,,,,,,,,,,,,
c. 650-600 BCE,Early Athenian Dionysian Sanctuary,"Athens, Attica",Urban sanctuary,Athenian archonship,"Ceramic assemblages, foundation remains",Pre-theatrical cult site; possible early Dionysia venue,Predecessor to later theater complex,Pickard-Cambridge (1968); Csapo & Slater (1995),,,,,,,,,,,,,,,,,
c. 600-550 BCE,Temple of Dionysus,"Naxos, Cyclades",Monumental temple,Archaic tyrant Lygdamis,"Marble architectural elements, sculptural program",Major island cult center; political association with ruling dynasty,"Hexastyle peripteral temple, Ionic order",Gruben (1989); Lambrinoudakis (2002),,,,,,,,,,,,,,,,,
c. 550-525 BCE,Sanctuary of Dionysus Eleuthereus,"Athens, Attica","Urban sanctuary, early theater",Peisistratid tyranny,"Foundation structures, early theater remains",Established by Peisistratos; venue for City Dionysia,"Wooden ikria (early seating), orchestra, altar",Kolb (1977); Goette (2007),,,,,,,,,,,,,,,,,
c. 525-500 BCE,Sanctuary at Eretria,Euboea,Urban sanctuary,Archaic polis,"Architectural remains, inscriptions",Associated with regional Dionysian festival,"Small temple, auxiliary structures",Bérard (1978); Ducrey et al. (2004),,,,,,,,,,,,,,,,,
c. 500-480 BCE,Sanctuary of Dionysus,"Thebes, Boeotia",Urban sanctuary,Boeotian League influence,"Foundation remains, votive deposits",Major cult center; associated with Dionysian mythic birth,"Temple structure, auxiliary buildings",Schachter (1981); Harland (2013),,,,,,,,,,,,,,,,,
c. 480-450 BCE,Mount Pangaion Sanctuary,"Eastern Macedonia, Thrace",Mountain oracle site,Thracian tribal territories,Limited archaeological evidence; textual references,Famous oracle; consultation by historical figures,"Cave complex, possible structures",Lazaridis (1986); Archibald (1998),,,,,,,,,,,,,,,,,
