Period,Region(s) & Users,Script/Language Interaction,Religious & Cultural Contexts,Interaction with Other Scripts/Cultures
c. 1100–900 BCE,Aramaeans (Fertile Crescent),Early use of Phoenician script; Aramaic emerges as spoken language,Local pagan religions,"Phoenician script; closely related to Hebrew, Syriac, Phoenician257"
c. 900–700 BCE,"Aramaeans, Assyrians",Aramaic script develops from Phoenician; begins to diverge,Assyrian adoption of Aramaic for administration,Assyrian Empire; Akkadian replaced by Aramaic247
700–600 BCE,"Neo-Assyrian, Neo-Babylonian Empires",Official Aramaic script; widespread adoption,Aramaic as lingua franca; Jewish exiles adopt Aramaic,Hebrew script influenced; Jews begin using Aramaic alphabet247
600–330 BCE,Achaemenid Persian Empire,Official imperial language; standardized script,"Zoroastrianism (Avesta in Avestan, related to Sanskrit); Judaism",Persian administration; Aramaic script influences Hebrew script; Greek contacts begin2467
330–100 BCE,"Hellenistic World (Seleucids, Jews, Persians)","Greek replaces Aramaic as official language, but Aramaic persists locally","Judaism (Targums, Dead Sea Scrolls); early Christianity",Greek and Aramaic coexist; Hellenic-Jewish interactions; Buddhist contacts via Silk Road247
100 BCE–200 CE,"Roman Near East, Parthian Empire, Jewish communities",Middle Aramaic dialects; Hebrew script now derived from Aramaic,Christianity (Jesus spoke Aramaic); Rabbinic Judaism; Zoroastrianism,Saka-Scythian (Indo-Scythian) use Aramaic-derived scripts in Central Asia; Buddhist texts in Gandhara use Aramaic script247
200–700 CE,"Syria, Mesopotamia, Persia, Jewish diaspora","Syriac (Christian Aramaic), Mandaic, Palestinian Aramaic","Christianity (Syriac churches), Judaism (Talmud), Mandaeism","Greek, Persian (Pahlavi), and local scripts; Buddhist texts in Central Asia with Aramaic influence247"
700 CE–present,"Isolated communities (Assyrians, Mandaeans, Jews)",Modern Aramaic dialects; continued use of Aramaic script in liturgy,"Liturgical use in Christianity, Judaism, Mandaeism",Arabic replaces Aramaic as lingua franca; continued script influence245
Tradition,Text Name / Collection,Language/Script,Date (approx.),Notes on Aramaic Usage and Influence
Jewish,Book of Daniel (parts),"Aramaic, Hebrew",c. 165 BCE,Daniel 2:4b–7:28 in Aramaic5
Jewish,Book of Ezra (parts),"Aramaic, Hebrew",c. 400 BCE,"Ezra 4:8–6:18, 7:12–26 in Aramaic5"
Jewish,"Targum Onkelos, Targum Jonathan, etc.",Aramaic,100 BCE–500 CE,Aramaic translations/paraphrases of the Hebrew Bible7
Jewish,Dead Sea Scrolls (some texts),"Aramaic, Hebrew",250 BCE–70 CE,"Several scrolls in Aramaic, e.g., Genesis Apocryphon5"
Jewish,"Talmud (Babylonian, Jerusalem)","Aramaic, Hebrew",200–500 CE,Core rabbinic texts in Jewish Aramaic5
Christian (Syriac),Peshitta (Old & New Testaments),Syriac (Aramaic),c. 150–400 CE,Standard Bible for Syriac churches; OT and NT in Aramaic125
Christian (Syriac),Vetus Syra (Old Syriac Gospels),Syriac (Aramaic),c. 200 CE,Early Aramaic gospel translations1
Christian (Syriac),Harklean Version,Syriac (Aramaic),616 CE,Literal translation from Greek1
Christian (Palestinian),Christian Palestinian Aramaic Lectionary,Christian Palestinian Aramaic,c. 500–800 CE,Lectionary fragments for liturgy1
Buddhist (Gandharan),Gandharan Buddhist Texts,"Gāndhārī (Prakrit, Kharosthi script)",1st c. BCE–3rd c. CE,"Gāndhārī written in Kharosthi, a script derived from Aramaic; no canonical Buddhist texts in Aramaic, but strong script influence68"
Text,Date,Region,Description,Manuscript Sources
Book of Daniel (Ch. 2:4b–7:28),c. 165 BCE,Judea,"Apocalyptic visions, court tales","Dead Sea Scrolls, Masoretic Text"
"Book of Ezra (4:8–6:18, 7:12–26)",c. 400 BCE,Judea/Persian Empire,"Imperial correspondence, temple reconstruction decree",Masoretic Text
Jeremiah 10:11,c. 586 BCE,Judea,Single verse in Aramaic,Masoretic Text
Text,Date,Region,Description,Manuscript Sources
Genesis Apocryphon (1QapGen),1st c. BCE,Judean Desert,Retelling of Genesis narratives,"Cave 1, Qumran"
Enochic Literature (1 Enoch),3rd-1st c. BCE,Judean Desert,"Apocalyptic visions, astronomical texts","Caves 1, 4, Qumran"
Testament of Levi,2nd c. BCE,Judean Desert,Patriarchal testament,"Cave 4, Qumran"
Tobit,2nd c. BCE,Judean Desert,Narrative wisdom text,"Cave 4, Qumran"
Prayer of Nabonidus (4Q242),1st c. BCE,Judean Desert,Prayer narrative,"Cave 4, Qumran"
Aramaic Levi Document,3rd-2nd c. BCE,Judean Desert,Instructions of Levi to his descendants,"Cave 4, Qumran"
Testament of Amram (4Q543-548),2nd c. BCE,Judean Desert,Patriarchal testament,"Cave 4, Qumran"
"New Jerusalem Text (4Q554, 5Q15, 11Q18)",2nd-1st c. BCE,Judean Desert,Description of eschatological Jerusalem,"Caves 4, 5, 11, Qumran"
Son of God Text (4Q246),1st c. BCE,Judean Desert,Messianic prophecy,"Cave 4, Qumran"
Aramaic Apocalypse (4Q246),1st c. BCE,Judean Desert,"Vision text mentioning ""son of God""","Cave 4, Qumran"
Text,Date,Region,Description,Manuscript Sources
Targum Onkelos,1st-4th c. CE,Babylonia,Literal translation of Torah,"Cairo Geniza, medieval manuscripts"
Targum Jonathan,2nd-4th c. CE,Babylonia,Translation of Prophets,"Cairo Geniza, medieval manuscripts"
Targum Neofiti,1st-4th c. CE,Palestine,Complete Palestinian Targum to Torah,Vatican Library (Neofiti 1)
Targum Pseudo-Jonathan,7th-8th c. CE (final),Palestine,Paraphrastic translation of Torah,British Library (Add MS 27031)
Fragmentary Targum,1st-7th c. CE,Palestine,Fragments of Palestinian Targum,"Cairo Geniza, European libraries"
Targum to the Five Megillot,6th-8th c. CE,Palestine/Babylonia,"Translation of Song of Songs, Ruth, Lamentations, Ecclesiastes, Esther",Various medieval manuscripts
Targum to Chronicles,8th-9th c. CE,Palestine/Babylonia,Late translation of Chronicles,Medieval manuscripts
Targum to Job,1st c. CE,Palestine,Translation found at Qumran,"Cave 11, Qumran (11QtgJob)"
Text,Date,Region,Description,Manuscript Sources
Babylonian Talmud,200-600 CE,Babylonia,"Rabbinic discussions, Jewish law","Munich Codex, Vatican manuscripts"
Jerusalem Talmud,300-425 CE,Galilee,Palestinian version of Talmud,"Leiden manuscript, Vatican fragments"
Midrash Rabbah (portions),400-1000 CE,Palestine/Babylonia,Exegetical commentaries,Medieval manuscripts
Midrash Tanhuma (portions),5th-9th c. CE,Palestine,Homiletical midrash,Medieval manuscripts
Pirqe de-Rabbi Eliezer (portions),8th-9th c. CE,Palestine,Aggadic-midrashic work,Medieval manuscripts
Text,Date,Region,Description,Manuscript Sources
Aramaic Incantation Bowls,3rd-7th c. CE,Babylonia,Protective magical texts,"British Museum, private collections"
Aramaic Amulets,3rd-7th c. CE,Palestine/Syria,Protective magical texts,Various museum collections
Jewish Magical Papyri,2nd-7th c. CE,Egypt,Magical formulae and incantations,Various papyrus collections
Text,Date,Region,Description,Manuscript Sources
Peshitta Old Testament,1st-3rd c. CE,Edessa/Adiabene,Standard Syriac Bible translation,"British Library, Vatican Library"
Peshitta New Testament,2nd-5th c. CE,Edessa/Osrhoene,Standard NT in Syriac churches,"British Library, St. Catherine's Monastery"
Old Syriac Gospels,c. 200 CE,Edessa,Early translation of gospels,Sinaiticus and Curetonianus manuscripts
Diatessaron (Tatian),c. 170 CE,Syria/Rome,Gospel harmony,Preserved in commentaries and translations
Acts of Thomas,3rd c. CE,Edessa,Apocryphal acts,"British Library, Vatican Library"
Odes of Solomon,1st-2nd c. CE,Syria,Early Christian hymns,"Pistis Sophia, Syriac manuscripts"
Demonstrations (Aphrahat),337-345 CE,Persian Empire,Early Syriac theological work,"British Library, Vatican Library"
Hymns (Ephrem the Syrian),c. 306-373 CE,Nisibis/Edessa,Poetic theological works,"British Library, Vatican Library"
Harklean Version,616 CE,Alexandria/Enaton,Literal NT translation,Various European libraries
Philoxenian Version,507-508 CE,Mabbug,New Testament translation,Fragments in later manuscripts
Chronicle of Edessa,540 CE,Edessa,Historical chronicle,Vatican Library
Cave of Treasures,6th c. CE,Syria,Sacred history from Creation to Christ,"British Library, Vatican Library"
Book of the Bee,13th c. CE,Mosul,Compendium of history and theology,Based on earlier Syriac sources
Text,Date,Region,Description,Manuscript Sources
CPA Gospel Lectionary,5th-8th c. CE,Palestine/Judea,Liturgical gospel readings,"Vatican Library, St. Catherine's"
CPA Old Testament Lectionary,5th-8th c. CE,Palestine/Judea,Liturgical OT readings,"Vatican Library, St. Catherine's"
CPA Hagiographical Texts,6th-8th c. CE,Palestine/Judea,Lives of saints,Cairo Geniza fragments
Text,Date,Region,Description,Manuscript Sources
Melkite Gospel Lectionaries,8th-10th c. CE,Syria/Palestine,Byzantine rite lectionaries,"St. Catherine's Monastery, Sinai"
Text,Date,Region,Description,Manuscript Sources
Samaritan Targum,2nd-3rd c. CE,Samaria,Translation of Samaritan Pentateuch,"John Rylands Library, British Library"
Samaritan Liturgical Poems,4th-14th c. CE,Samaria,Poetic religious works,"John Rylands Library, British Library"
Tibåt Mårqe,4th c. CE,Samaria,Theological composition,"British Library, Bibliotheque Nationale"
Asatir (Secrets of Moses),10th-11th c. CE,Samaria,Midrashic narrative,Based on earlier Aramaic traditions
Text,Date,Region,Description,Manuscript Sources
Ginza Rba (Great Treasure),3rd-7th c. CE,Southern Mesopotamia,Main religious text,"Bodleian Library, Berlin State Library"
Book of John (Drasha d-Yahya),3rd-7th c. CE,Southern Mesopotamia,Narrative of John the Baptist,"Bodleian Library, Berlin State Library"
Qolasta (Liturgies),3rd-7th c. CE,Southern Mesopotamia,Ritual prayers,"Bodleian Library, Berlin State Library"
Thousand and Twelve Questions,7th-9th c. CE,Southern Mesopotamia,Cosmological treatise,"Bodleian Library, Berlin State Library"
Baptism of Hibil Ziwa,3rd-7th c. CE,Southern Mesopotamia,Ritual text,"Bodleian Library, Berlin State Library"
Text,Date,Region,Description,Manuscript Sources
Elephantine Papyri,5th c. BCE,Egypt (Elephantine),"Letters, contracts, legal documents","Berlin Museum, Cairo Museum"
Arsham Letters,5th c. BCE,Egypt/Persian Empire,Official correspondence,Bodleian Library
Bactrian Aramaic Documents,4th c. BCE,Afghanistan/Bactria,Administrative texts,Khalili Collection
Aramaic Behistun Inscription,5th c. BCE,Persia,Royal inscription (fragmentary),Based on recovered fragments
Driver Documents,5th-4th c. BCE,Egypt/Syria,Legal and administrative,Bodleian Library
Wadi Daliyeh Papyri,4th c. BCE,Samaria,Legal documents,Palestine Archaeological Museum
Samaria Ostraca,8th c. BCE,Samaria,Administrative records,Israel Museum
Tell Fekheriye Inscription,9th c. BCE,Syria,Bilingual Aramaic-Akkadian,"Archaeological Museum, Aleppo"
Deir 'Alla Inscription,9th-8th c. BCE,Jordan,Prophetic text (Balaam),Jordan Archaeological Museum
Zakkur Inscription,8th c. BCE,Syria,Royal inscription,Louvre Museum
Sefire Treaty Inscriptions,8th c. BCE,Syria,International treaties,"Damascus Museum, Beirut Museum"
Amherst Papyrus 63,4th c. BCE,Egypt,Religious anthology,Pierpont Morgan Library
Text,Date,Region,Description,Manuscript Sources
Nabataean Inscriptions,2nd c. BCE-4th c. CE,Petra/Hegra/Sinai,"Funerary, dedicatory texts",In situ at archaeological sites
Nabataean Legal Papyri,1st-2nd c. CE,Dead Sea region,Legal documents,"Jordan Museum, Israel Museum"
Hegra Tomb Inscriptions,1st c. BCE-1st c. CE,Hegra (Al-Hijr),Funerary texts with legal provisions,In situ at archaeological site
Text,Date,Region,Description,Manuscript Sources
Palmyrene Inscriptions,1st c. BCE-3rd c. CE,Palmyra,"Honorific, dedicatory, funerary","Palmyra Museum, Louvre, British Museum"
Palmyrene Tariff,137 CE,Palmyra,Tax regulations,Hermitage Museum
Palmyrene Tessarae,1st-3rd c. CE,Palmyra,Clay tokens with inscriptions,Various museums worldwide
Text,Date,Region,Description,Manuscript Sources
Hatran Inscriptions,1st c. BCE-3rd c. CE,Hatra (Iraq),Dedicatory inscriptions,"Iraq Museum, archaeological site"
Text,Date,Region,Description,Manuscript Sources
Bar Kokhba Letters,132-135 CE,Judean Desert,Administrative correspondence,"Israel Museum, Rockefeller Museum"
Aramaic Ostraca (various sites),7th c. BCE-3rd c. CE,Levant/Mesopotamia,Administrative records,Various archaeological museums
Aramaic Graffiti,8th c. BCE-3rd c. CE,Throughout Near East,Travelers' inscriptions,In situ at archaeological sites
Writing System,Date,Region,Description,Notable Examples
Hebrew Square Script,3rd c. BCE onward,Judea,Derived from Aramaic script,"Dead Sea Scrolls, modern Hebrew"
Kharosthi Script,3rd c. BCE-3rd c. CE,Gandhara,Used for Gandhari Prakrit,Gandharan Buddhist texts
Early Sogdian Script,2nd-8th c. CE,Central Asia,Derived from Aramaic,"Ancient Letters, Buddhist texts"
Mandaic Script,3rd c. CE onward,Mesopotamia,Used for Mandaic Aramaic,"Ginza Rba, ritual texts"
"Syriac Scripts (Estrangela, Serto, East Syriac)",1st c. CE onward,Syria/Mesopotamia,Variants of Aramaic script,"Peshitta, patristic texts"
Pahlavi Script,2nd c. BCE-9th c. CE,Iran,Middle Persian script,"Zoroastrian texts, inscriptions"
Old Turkic Script,8th-13th c. CE,Mongolia/Central Asia,Partly influenced by Sogdian,Orkhon inscriptions
Old Uyghur Script,9th-13th c. CE,Central Asia,Derived from Sogdian,Buddhist and Manichaean texts
Text,Date,Region,Description,Aramaic Influence
Greek New Testament,1st c. CE,Palestine/Syria,Christian scriptures,Aramaic terms and phrases preserved
Babylonian Talmud (Hebrew portions),3rd-6th c. CE,Babylonia,Rabbinic text,Hebrew portions contain Aramaic loanwords
Middle Persian Literature,3rd-7th c. CE,Persia,Zoroastrian texts,Numerous Aramaic heterograms
Arabic Quran,7th c. CE,Arabia,Islamic scripture,Contains Aramaic loanwords
Text,Date,Region,Description,Manuscript Sources
Syriac Medical Works,6th-13th c. CE,Syria/Mesopotamia,Translations of Greek medical texts,"British Library, Vatican Library"
Book of Medicines,9th c. CE,Northern Mesopotamia,Medical compendium,British Library
Book of Treasures (Job of Edessa),9th c. CE,Northern Mesopotamia,Scientific encyclopedia,British Library
Text,Date,Region,Description,Manuscript Sources
Syriac Aristotle Translations,6th-10th c. CE,Syria/Mesopotamia,Translations of Aristotle,"British Library, Vatican Library"
Book of Causes,9th c. CE,Baghdad,Philosophical text,Various European libraries
Treatise on the Soul (Ahudemmeh),6th c. CE,Northern Mesopotamia,Philosophical treatise,Vatican Library
Text,Date,Region,Description,Manuscript Sources
Grammar of Bar Hebraeus,13th c. CE,Northern Mesopotamia,Syriac grammar,Based on earlier traditions
Elias of Nisibis,11th c. CE,Northern Mesopotamia,Comparative lexicon,"Vatican Library, British Library"
Dialect Group,Time Period,Geographic Region,Major Text Representatives,
Old Aramaic,10th-7th c. BCE,Syria/Northern Mesopotamia,"Tell Fekheriye, Sefire, Zakkur inscriptions",
Imperial/Official Aramaic,7th-3rd c. BCE,Throughout Persian Empire,"Elephantine Papyri, Biblical Aramaic",
Hasmonaean Aramaic,2nd-1st c. BCE,Judea,Some Dead Sea Scrolls,
Nabataean Aramaic,2nd c. BCE-4th c. CE,"Petra, Negev, Sinai",Nabataean inscriptions,
Palmyrene Aramaic,1st c. BCE-3rd c. CE,Palmyra,Palmyrene inscriptions,
Hatran Aramaic,1st c. BCE-3rd c. CE,Hatra (Northern Iraq),Hatran inscriptions,
Judean Aramaic,1st c. BCE-2nd c. CE,Judea,"Dead Sea Scrolls, Bar Kokhba letters",
Galilean Aramaic,2nd-7th c. CE,Galilee,"Jerusalem Talmud, Palestinian Targums",
Babylonian Jewish Aramaic,3rd-6th c. CE,Babylonia,Babylonian Talmud,
Syriac,1st-14th c. CE,Edessa/Northern Mesopotamia,"Peshitta, patristic literature",
Mandaic,3rd c. CE onward,Southern Mesopotamia,"Ginza Rba, liturgical texts",
Christian Palestinian Aramaic,5th-13th c. CE,Palestine,Lectionaries,
Samaritan Aramaic,4th c. CE onward,Samaria,Samaritan Targum,
